identifier,city_town,survey_title,date,auction_date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,auctioneer,surveyor_no,scale,latitude,longitude,no_sheets,panels,sides,dimensions_in,form_genre,material,condition_notes
Perkins_7_3,"Melrose, MA; Stoneham, MA","Fordell Park, Building Lots, Melrose Highlands.",1894-05-01,,Nowell & Batchelder,Chase; Hammond; Harrison,"""Country Road"" [Perkins Street]; Fordell Park [Defunct]; Columbia Park [Defunct]; Franklin Street; Harrison Street; Isabella Street; Mrytle Street [Defunct]; North Avenue [Defunct]; Pearl Street","Auction announcement regarding sale of 7 blocks comprising 69 numbered lots with dimensions and sf.  Footprints of abutters' structures shown.  Contains description of amenities (including ""good streets"" and lights), directions to site via public transit, and sales incentives. ","Site is at the Melrose/Stoneham town line; Nowell & Batchelor had offices at 411 Exchange Building, Boston, MA.  Plan displays several streets that do not exist.",,"Bancroft, Arthur G.",Nowell & Batchelder,,,Not applicable,42.46963032,-71.07898325,1,,1,13.5 x 11.5,Auctioneer Plan,Blueprint,Faded. Stored in plastic sleeve.
Perkins_7_4,"Cambridge, MA",Plan of Lands in Cambridge belonging to the East Cambridge Land Co.,1869-12-01,,East Cambridge Land Co.,"Boston & Albany Railroad; Seavey & Co.; Young, Haines & Dyer",Bent Street; Binney Street; Broad Canal [Broad Canal Way]; Charles Street; Court Street; Fifth Street; Monroe Street; Ninth Street [Fulkerson Street]; Potter Street; Fifth Street; Rogers Street; Sixth Street; Vine Street,"Subdivision plan showing 19 numbered blocks with dimensions and sf of area bounded by Boston & Albany Railroad, Broad Canal, and Court Street. Street widths are explicitly labelled. Print contains additional markings in pencil and red ink as well as references to other plans on both front and verso sides.","Surveyor J.D. Chase is listed as engineer & surveyor in Cambridgeport.  Incorporated in 1861, The East Cambridge Land Company played a key role in the development of East Cambridge south of Charles Street.",,"Chase, J.G.","J. Mayer & Co., lithographer",,,1 in = 100 ft,42.36654013,-71.08315918,1,,1,25 x 18,Auctioneer Plan,Lithograph on cloth-backed paper,Discoloration. Edge damage; Folds
Perkins_7_5,"Wakefield, MA",Plan of House Lots in South Reading belonging to John C. Tasker Jr.,1853-09-01,,"Tasker, John C.",,Lake Quannapowitt; Lawrence Street; Main Street; Salem Street; Vernon Street,Subdivision plan showing 34 numbered lots with dimensions and sf. Includes penciled notations and two parallel lines which may represent future Pleasant Street.,"Although survey title states the location as South Reading, this area became Wakefield c. 1868.",,"Eaton, Henry L.",,,,1 in = 100 ft,42.51030337,-71.06914607,1,,1,21 x 10.5,Survey Plan,Ink on bond,Discoloration.
Perkins_7_6,"Reading, MA",Bancroft Plain. For Sale Sixty-nine House Lots situated on the Boston & Main Road one mile north of Reading & twenty-five minutes by the R. Road from  Hay Market Square.,Not dated,,"Damon, James","Bancroft; Boston & Maine Railroad; Hartshorn, Thomas",Lowell Street,"2 copies of auctioneer's subdivision plan showing 9 blocks comprising 69 lots with dimensions and sf. Text indicates that it abuts ""Bancroft Plain"" and is land belonging to James Damon, No. 13 Blackstone Street, ""which he will exchange for city property.""  Auctioneer was James Pratt, 46 India Wharf.  One copy contains red penciled note: ""Lumber advanced for building.""",Lacks date.  Includes streets that were never built.,,"Parrott, W.P.","Bufford, J. B. & Co., lithographer","Pratt, James",,1 in = 10 rods (165 ft),42.53542121,-71.12897973,2,,1,16 x 12,Auctioneer Plan,Lithograph on vellum,Discoloration. Edge damage. Folds. Stains. Tears.
Perkins_7_7,"Wakefield, MA","Hart Hill Park, Wakefield",1914-11-01,,Suburban Land Company,Boston & Maine Railroad,Crystal Lake; Dillaway Street; Green Street; Main Street; Shady Avenue; Sidney Street; Upland Road,"Auction announcement for subdivision featuring five blocks comprising 215 numbered lots with dimensions and sf. One side contains larger scale plan with markings in red and lead pencil (indicating sold lots). The other side contains description of the lots, its advantages, and directions to the site, and agents' contact information as well as index map showing site in context of roads and public transit, including location relative to Greenwood Junction, Melrose Highlands, and Wakefield junction railroad stops. Promotes the community's prices (2c to 4c per square foot) and ""reasonable restrictions, desirable neighbors.""",,,"Thayer, C.A.",,,,Not provided,42.49005863,-71.06784497,1,,2,14 x 20,Auctioneer Plan,Lithograph on bond,Edge damage. Taped areas.
Perkins_7_8,"Medford, MA","Plan of Knollwood, Medford, Mass. (opposite Tufts College]",1919-05-01,,Citizens Realty Trust,Boston & Maine Railroad,Burget Avenue; College Avenue; George Street; Greenleaf Avenue; Hume Avenue; Sunset Avenue; Wedgemere Road; Woodbine Avenue;,"Auction announcement for subdivision featuring nine blocks comprising approx. 132 numbered lots with dimensions and sf. One side contains larger scale plan with one lot shaded in red and description and history of site as well as directions by steam, train and ""electrics."" Includes price per lot ($300 up) and verification of title insurance. Indicates that property was originally the estate of the Stearns family. The other side contains image of George Street, information on travel to site, comparison to rental options, and a coupon.",,,Whitman & Howard,,,,Not provided,42.41254353,-71.11566832,1,,2,12 x 17,Auctioneer Plan,Lithograph on bond,Edge damage. Taped areas. Some content obscured by taping.
Perkins_7_9,"Medford, MA","Plan of Boulevard Heights, Medford, Mass. Surveyed for George A. McCormack",1910-05-15 (Revised 1914-08-01),,"Boulevard Heights Land Company; McCormack, George A.",Boulevard Summer Theatre,Cedar Road; Fellsway West; Fern Road; Hazel Road; Hickory Road; Lookout Road; Oak Road; Rock Glen Road; Valley Road; Vista Road; Watervale Road,"Auction announcement for subdivision featuring 15 blocks containing approx. 250 lots with sf and dimensions with red text indicating price per square foot for some lots. Sold lots have been printed in red ink. Displays a non-existent body of water titled Crystal Lake and streets that do not currently exist. The other side contains images, sales terms, and description of the ""most popular suburban development of recent years"" with headings and key text printed in red. and proximity to Boulevard Summer Theatre.",George A. McCormack (1870-1935) was an important developer in the Medford area.,,"Branch, Ernest W., C.E.",,,,Not provided,42.42769683,-71.09246449,1,,1,8 x 11,Auctioneer Plan,Lithograph on bond,"Edge damage. Folds, Taped areas. Some content obscured by taping."
Perkins_7_10,"Medford, MA","Plan showing the Lawrence Estates, Medford, Mass. For the Lawrence Estates Land Trust, Willard Welsh, Ellis L. Gates, Trustees.",1926-05-01 (Revised 1926-07-01),,"Willard Welsh Realty Co., selling agents",,Badger Road; Blaisedell Road; Blakely Road; Burbank Road; Crocker Road; Damon Road; Keith Road; Lawrence Road; Lincoln Road; Middlesex Fells; Powderhouse Road; Ramshead Road; Rural Avenue; Summit Road; Traincroft Street; Whitney Road; Woodside Road,"2 copies of auctioneer's subdivision plan showing over 25 blocks comprising 388 lots with dimensions and sf.  Footer states ""Willard Welsh Realty Co., Inc. Selling Agents, at 209 Washington Street, Boston.  The two copies differ in sheet dimensions and layout of footer.","The estate belonged originally to Samuel Crocker Lawrence, first mayor of Medford. Willard Welsh was a prominent Boston real estate developer and broker.  See https://medfordhistoricalcommission.org/wp-content/uploads/2018/07/damonrd_137.pdf",,"Peters, Alexander C., C.E.",,,,Not provided,42.42496031,-71.11743828,2,,1,15 x 20,Auctioneer Plan,Lithograph on bond,Edge damage. Creases.
Perkins_7_11,"Lynn, MA; Saugus, MA","Plan of the ""Owen Mullen Farm"" belonging to the Portsmouth Trust & Guarantee Co. and situated in Lynn and Saugus, Massachusetts.",1876-01-21 (Copied 1886-08-20),,Portsmouth Trust and Guarantee Co.,"Chase, P.A.; Graham; Hallowell; Howard; Wilson",Alanorth Street [Osborn Street]; Harmon Street; Sigourney Street; Sterling Street; Walnut Street,"Subdivision plan showing 5 blocks comprising 150 numbered lots, some showing dimensions.  Roads, land features, building footprints, and 1876 lot boundaries are drawn in black in; subdivision lots and additions were drawn by Isaac Harris in red ink. Contains table of areas of acreage in Lynn and Saugus.",Isaac K. Harris was city engineer for Lynn. The Hopkins Atlas of 1880 shows the extent of land owned by Portsmouth Trust. See Southern Essex Registry of Deeds for related transactions.,,"Hammond, Charles A. (Copied by Harris, Isaac K.)",,,,1 in = 100 ft,42.47380738,-70.99179554,1,,1,28 x 22,Survey Plan,Ink on vellum,Buckling. Discoloration.
Perkins_7_12,"Lowell, MA; Tewksbury, MA",Plan of Land in Lowell & Tewksbury belonging to the heirs of Oliver M. Whipple,1873-05-12,,"Whipple, Oliver M., heirs",Salem Railroad,Billerica Street; Concord River,"Subdivision plan showing nine lots numbered 30 through 38 with dimensions and sf and reference ordinates alongside railroad tracks and river.  Decorative title block, border, and directional arrow.",Oliver Whipple was major industrialist (gunpowder) and landowner in Lowell. See alternative plan Perkins_9_14.,,"Osgood, William F.","Bufford, J. B. & Co., lithographer",,,Not provided,42.62567761,-71.29518848,1,,1,17.5 x 13.5,Survey Plan,Lithograph on bond,Discoloration. Edge damage.
Perkins_7_13,"Medford, MA; Somerville, MA","Plan of Land in Medford & Somerville on the Westerly Slope of Winter Hill, belonging to Wm. Edward, Geo. F. & Alfred Tufts",1861-10-01,,"Tufts, Alfred, George F., and William Edward","Adams, George E.; Astle, Abel; Boles, John; Boston & Lowell Railroad; Burrows, Robert; Cushing, Evans; Cushing, Isaac C.; Cutter, George T.; Edgerly, John S.; Fisk, Mark; Norcross; Prosser, Levi; Smith, J.W.; Smith, Wiliam; Stearns, William, Jr.",Adams Street [Bow Street]; Albion Street; Alfred Street; Broadway; Charles Street [Winchester]; Edward Street; George Street; Henry Street; Joseph Street [Defunct]; Main Street; Medford Street; William Street,Subdivision plan showing 17 lots comprising over 150  numbered lots with dimensions and sf and building footprints of abutters.  Shows Medford-Somerville town line and streets that do not appear on historical maps.,The Medford Historical Commission has published various reports providing the history of disposition of land owned by the Tufts family. https://medfordhistoricalcommission.org/wp-content/uploads/2022/02/area-edward.pdf,,Not provided,,,,1 in = 120 ft,42.39900194,-71.10285068,1,,1,29 x 18.5,Survey Plan,Lithograph on vellum,Discoloration. Edge damage. Stains. Tears.
Perkins_7_14,"Medford, MA; Somerville, MA",Plan of Building Lots in Medford and Somerville belonging to the New England Realty Co. Inc.,1916-09-12,,New England Realty Co. Inc.,"Malone, William S.",Capen Street; Chandler Street; Gove Street; Hamilton Street; Harold Street; North Street; Williams Street,Draft subdivision plan showing 3 blocks comprising 27 numbered lots with dimensions and sf and building outlines of abutting lots.  Street names and lots information have been crossed out.  Shows town boundaries. Indicates filed in Middlesex South Registry.,Surveyor J.O. Goodwin was a prominent Medford surveyor and developer in the 19th century.,,"Goodwin, James Otis",,,,1 in = 40 ft,42.41294957,-71.12810601,1,,1,27 x 14.5,Survey Plan,Ink and pencil on vellum,Discoloration. Edge damage.
Perkins_7_15,"Somerville, MA","Plan of Real Estate, Ward 2 Section 5, Somerville indicating Party and sq. feet assessed.",1894-05-01 (Modified 1895-01-02),,"Berry, Mary; Fay, John; Gallivan; Garvin, Thomas; Hayes, Patrick; Isaac, John A.; Jones, Leonard J.; Martin, Bridget; Martin, Hugh; McDonald, Daniel G.; Russell, Francis; Sargeant, George W.; Sheridan, Owen; Squire, John P., heirs; Swift; Welch, Willard",Fitchburg Railroad Freight Yards and Main Space,Bedford Street; Distillhouse Street; Earle Street; Harding Street; Hunting Street; Medford Street; South Street; Water Street; Willow Place [Willow Street],"Plan showing 13 blocks of lots, most with occupants' names, sf, and dimensions. Select lots are shaded red, brown, or blue, with some penciled edits. Title and street names in ornate cursive.","Plan contains more abutters' names than listed here; refer to urban atlases for more informaton.  The major landowner shown, John P. Squire, owned a pork packing works and the area was populated by meat packers and other factories in the late 19th-century.",,Not provided,,,,1 in = 40 ft,42.37436088,-71.09022536,1,,1,33 x 21,Survey Plan,Ink wash on vellum,Discoloration. Edge damage. Folds. Stains. Tears.
Perkins_7_16,"Cambridge, MA","Plan of Land in Cambridge, Mass. Owned by Lewis Rice & S.R. Niles",Not dated,,"Niles, Stephen; Rice, Lewis",Davis & Taylor; Pratt; Wyeth,Brattle Street; Hawthorne Street [Grozier Road]; Laurel Street [Defunct]; Lexington Avenue,"Subdivision plan showing 48 numbered lots divided into 3 rows with dimensions and sf. Decorative title block. Note states: ""For prices & terms, apply to J.B. Kelley, 22 Mount Auburn Street.""  Penciled notations list abutters.",Rice and Niles began to develop this area c. 1873.,,Not provided,"Kelley, J.B.",,,1 in = 100 ft,42.378415,-71.141,1,,1,24 x 10,Survey Plan,Lithograph on bond,Discoloration. Edge damage. Fastener holes. Stains. Tears.
Perkins_7_17,"Roxbury (Boston, MA)","Executors Sale of the Mansion House and 43 House Lots belonging to the Estate of the late Hannah Dudley, on Wednesday, May 25, 1887 at 3 o'clock P.M. on the Premises.",1887-05-14,1887-05-25,"Dudley, Hannah, est; Lewis, M.A.D., executor; Johnson, H.R., executor; Child, Albert, executor.","Parker, George W.",Centre Street; Highland Street; [Nathanial Askia Way]; New Heath Street [Heath Street]; Pynchon Street [Columbus Avenue],Auctioneer plan showing two blocks comprising 44 numbered lots with dimensions and sf. Two lots display building footprints. Decorative elements.,"Site incorporates 167 Centre Street, home of Hannah and David Dudley  (https://historicboston.org/the-faces-behind-roxburys-dudley-house/); the Dudleys had roots in Colonial Boston and Nubian Square in Boston was originally named after the family.  Sullivan Brothers Auctioneers maintained offices at 9 School Street in Boston.",,Not provided,"Meisel Brothers, lithographer",Sullivan Brothers,,1 in = 40 ft,42.3251461,-71.09779898,1,,1,29.5 x 14.5,Auctioneer Plan,Lithograph on bond,Edge damage. Folds. Missing pieces. Tears.
Perkins_7_18,"Billerica, MA",Assessors' Map - Billerica Mass - Section Sheet 10-59,1926-03-10,,,"Dolan; Johnson, L.A.; Howe, Charles; Jones, M.R.; McLeod; Mitchell; Remick Harry S.; Suburban Land Company",Lexington Road; Massachusetts Avenue; Middlesex Turnpike; Nuttings Lake; Peace Street,"Assessors Map showing numbered  property lots for a section of Billerica adjacent to the Middlesex Turnpike at Nuttings Lake.  Displays roads and topographic features and illegible table of references.  Portions of the Turnpike and of Peace Street are colored red.  Penciled note says ""George J. Waller, Box 381, Bedford.""",Warren H. Manning was a prominent landscape architect who trained with Frederick Law Olmsted.  He did numerous planning projects for Billerica.,,Not provided,"Manning, Warren H.",,,1 in = 200 ft,42.5350431,-71.26558701,1,,1,17.5 x 11,Map,Blueline on bond,"Discoloration. Edge damage. Missing pieces, Tears."
Perkins_7_19,"Cambridge, MA","Plan of Lots in Cambridge for Sale by W.S. Clarke, 19 Milk St., Boston",Not dated,,,,Camelia Avenue; Cambridge Street; Leonard Avenue; Line Street,"Auctioneer plan showing two blocks comprising 36 numbered lots with dimensions and sf. Also displays measurements for overall lot boundaries. Two lots have penciled note that they were ""sold.""","Based on urban atlases for Cambridge, plan would have been done prior between 1886 and 1894.  The land has been previously owned by P.B. Hovey. Per deeds in the Middlesex South Registry, many of the lots shown on the plan were shown in a 1889 Plan of Portions of the Hovey Estate sold to William C. Doyle; plan done by Gilbert Hodges.",,Not provided,"Clarke, W.S.",,,1 in = 100 ft,42.37528573,-71.10532847,1,,1,11 x 7,Auctioneer Plan,Lithograph on bond,Discoloration.
Perkins_7_20,"Stoneham, MA","Plan of House Lots in Wyoming overlooking Spot Pond, near the Langwood Hotel, on Highland Avenue to be sold at auction, Friday, June 15th, 1888, commencing at 3 o'clock, by Atwood & Weld, Auctioneers.",1888-06-15,1888-06-15,,,Gertrude Avenue [Defunct]; Highland Avenue; Pleasant View Avenue [Defunct]; Spot Pond,Auctioneer plan showing two blocks comprising 16 numbered lots with dimensions and sf.  Contains penciled notes regarding measurements and other information.,"Built by William B. Lang on Woodland Road as an estate and converted into The Langwood Hotel, a luxury hotel, was replaced in the 1890s by the New England Sanitarium and Benevolent Association. Atwood & Weld, auctioneers, maintained offices at 51 Sears Building, Boston.",,Not provided,,Atwood & Weld,,1 in = 40 ft,42.451721,-71.08886961,1,,1,14.5 x 12,Auctioneer Plan,Lithograph on vellum,Edge damage. Folds.
Perkins_7_21,"Boston, MA","Plan of Estates on Suffolk St. District belonging to the City of Boston.  To be sold at Public auction, Dec. 23rd 1871 at 11 o'clock and Dec. 17th, 1871 at 12 o'clock noon, on the premises by the order of the Joint Special Committee on Suffolk St. Dist.",1871-12-21,1871-12-23,"Boston, City of","Brewer, Thomas; Goodnow, Daniel; Model Lodging Houses; Paul, William, heirs; Shaw, John J.",Kirkland Street {Defunct]; Ohio Place {Defunct]; Osborn Place {Defunct]; Pleasant Street {Defunct]; Shawmut Avenue; Wheelers Court [Defunct],Plan showing multiple lots encompassing two blocks.  Lots display either dimensions and sf or owner's names; some lots display hatching to represent walls.,Plan was part of a series and several are in the LMEC collection; see https://collections.leventhalmap.org/search/commonwealth:js956k36p and related items.,,"Davis, T.W., city surveyor","A. Trochsler & Co., lithographer",Samuel Hatch & Co.,,1 in = 20 ft,42.34769646,-71.06574109,1,,1,24 x 18,Auctioneer Plan,Lithograph on bond,Edge damage. Folds. Tears.
Perkins_7_22,"Hyde Park (Boston, MA); Milton, MA","Hyde Park & Fairmount in Dorchester & Milton, Norfolk Co.",1860-01-01,,"Fairmont Land Co.; Hyde Park Development; Nott, G.E.; R. Estate and Building Co.; R. E. Improvement Co.","Blanchard; Boston Providence Railroad; Cobbett; Davidson; Edson; Ellis; Greenwood; Grew, H.; Lyman; New York Central Railroad; Richards; Sumner; Tucker, D.; White",Dana Avenue; Fairmount Avenue; Glenwood Avenue; Mother Brook; Maple Street; Neponset Avenue; Neponset River; Oak Street; Pine Street; Warren Avenue; Williams Avenue,"Auctioneer or subdivision plan showing several hundred numbered lots spread over multiple blocks on either side of the Neponset River.  Some lots are groups into 20 numbered sections. Contains a table of ""Explanations"" listing the owners of groups of lots, labelled 1 through 8. Decorative title block and border.",See version in LMEC collection: https://collections.leventhalmap.org/search/commonwealth:9s161f90v   Incorporates area now known as Fairmount Hill.,,"Stone, Anson J.","Crosby, Charles H., lithographer",,,1 in = 600 ft,42.25168322,-71.12343905,1,,1,18 x 13,Auctioneer Plan,Lithograph on bond,"Edge damage. Folds, Missing corner."
Perkins_7_23,"Westwood, MA","Plan of Building Lots in Spring Vale Junction, Dedham. 2nd Auction Sale of lots on Tuesday, September 30th (if 30th is stormy then on following Thursday) at 4 o'clock at Springvale Depot.",1873-01-01,1873-09-30,"Wentworth, Alonzo B.","Boston Hartford and Erie Railroad Corp.; Wentworth, A.B.",Ash Street; Birch Larch; Carroll Avenue; East Street; Elm Street; Hawthorn Street; Shawmut Avenue; Station Street,"Auctioneer plan showing over 50 lots spread over 7 blocks with sf and dimensions and select building footprints. Lots to be sold are hatched; lots to be sold are ""numbered in Red in order of sale."" Season tickets are $18.00 per quarter. Decorative title block and border.","Creation date is approximate, based on registry documents. Nathaniel Smith was a 19th-century surveyor focused primarily on towns in Norfolk County. Spring Vale Junction was originally part of the Dedham Branch railroad line.",Norfolk Bk/Pg D0443-114 (Plan #1949-1035),"Smith, Nathaniel","Longfellow, H.W., lithographer",N.A. Thompson & Co.,,1 in = 120 ft,42.22186043,-71.18047697,1,,1,28.5 x 20.5,Auctioneer Plan,Lithograph on bond,Discoloration. Edge damage. Folds. Tears.
Perkins_7_24_A_B,"Malden, MA; Revere, MA",Plan of Land in Malden & Revere belonging to the Linden Land Company.,1873-01-01,,"Linden Land Company; Sargent, H & P.",Boston & Maine Saugus Branch Railroad,Beach Street; [Claremont Street]; [Elm Street]; Lynn Street; Salem Street,2 copies of Auctioneer plan showing 53 blocks comprising several hundred numbered lots with sf and dimensions. Lots are graphically coded as to whether have been sold or belong to either Linden Land Co. or H. & P. Sargent. Decorative title block and border.,The majority of lots are located in Malden. Plan includes planned streets that may not have been built.,,"Ames, C.C.",W.H. Forbes & Co.,,,1 in = 150 ft,42.43325736,-71.02801001,2,,1,31 x 24.5,Auctioneer Plan,Lithograph on bond (one with linen backing),Discoloration. Edge damage. Tears.
Perkins_7_25,"Stoneham, MA","Stoneham Gardens, Stoneham, Mass. Owned by Bonelli-Adams Co. - Preliminary Plan",1928-04-01,,Bonelli-Adams Co.,,Bonad Road; George Street; Governor Road; Grew Road [Defunct]; Main Street; Myopia Road; North Street; Oak Street; Rangeley Road; Sherwood Road; Weld Road [Defunct]; Westwood Road,"Auctioneer or subdivision plan showing 15 blocks comprising 233 lots with sf and selected dimensions. Shows proposed roads. Includes statement that ""areas and distances are only approximate and are subject to change and correction.","Headed by Edward H. Bonelli, Bonelli-Adams Co. was a real estate broker who did large subdivisions in the Boston area.",,"Branch, Ernest W., C.E.",,,,1 in = 80 ft,42.496695,-71.105577,1,,1,29.5 x 26,Auctioneer Plan,Blueprint,Stored in plastic sleeve.
Perkins_7_26,"Wakefield, MA","Greenwood Park, Boston & Maine R.R. - Homes for Everybody",Not dated,,"Wood, Harmon & Co.",Boston & Maine Railroad,Greenwood Avenue; Hillis Avenue; Madison Avenue; Main Street; Oak Avenue; Orchard Avenue; Pine Street; Pittman Avenue; Warren Avenue,"Auctioneer or subdivision plan showing over 20 blocks comprising over 400 lots with dimensions and sf. Features promotional text which states ""Beautiful New Town!  Clean, healthy, picturesque, and respectable! An ideal American settlement!"" Terms included $100 to $300 per lot, with 50 lots given away to builders. Decorative title and border.",Greenwood is now an established neighborhood in Wakefield. See related plans in the LMEC collection.,,Not provided,"Walker, George D.",,,1 in = 100 ft,42.48303438,-71.06374447,1,,1,35.5 x 28.5,Auctioneer Plan,Lithograph on bond,Discoloration. Edge damage. Folds. Tears. Stored in plastic sleeve.
Perkins_8_1,"Cambridge, MA",Plan of an Estate in Cambridgeport surveyed for Charles Tufts. [Plan 1804],1869-07-01,,"Tufts, Charles","Herring; Hastings, heirs of",Magazine Street; Walnut Street [Putnam Avenue],"Plan showing 5 lots with dimensions and sf. Notes indicates distance to locations at Pearl Street. Decorative title block. On verso, lot boundaries are outlined in thick red ink.","Walnut Street was renamed Putnam Avenue in the 1870s. Charles Tufts [1806 - 1888] was the son of Peter Tufts, Jr. (see other items in the Perkins Survey Collection).",,"Mason, W.A. & Co.",,,1304,1 in = 30 ft,42.35881209,-71.11033486,1,,1,19.5 x 20,Survey Plan,Ink on textile,Buckling. Discoloration. Water damage.
Perkins_8_2,"Cambridge, MA",Plan of the Tufts Estate - Cambridgeport. [Plan 1305],1870-12-01,,"Tufts, Charles, estate","Hastings, E.T.; Tufts, Charles.",Henry Street; Magazine Street; Pearl Street; Willow Street [Defunct],"Plan showing 7048 acre lot with dimensions, sf, and footprint of a house as well as location of ditches. Decorative title block. On verso, lot boundaries are outlined in thick red ink. Contains two red lines that boundaries and are explained in title block notes.","Darwin and Mason are listed as civil engineers and surveyors, reflecting their partnership between 1869 - 1872. Site is approximate location of what is now Tufts Street.",,"Elliot, Charles Darwin; Mason, W.A. & Co.",,,1305,1 in = 30 ft,42.35752775,-71.11155795,1,,1,39 x 25,Survey Plan,Ink on textile,Buckling. Discoloration. Water damage.
Perkins_8_3,"Cambridge, MA",[Untitled - Willow Street. Plan 1306],Not dated,,,"Anderson, William; Boston & Fitchburg Railroad; Cummin, John; McKeon; Monahan, P.; Russell, Francis; Saunders; Shrow, John; Sullivan, Daniel",Emery Street; Harding Street; Willow Place; Willow Street,"Schematic plan showing multiple lots, some with sf and dimensions as well as building footprints that include buildings such as houses, sheds, and bridges.  Some items are hatched.  One line shows locations of stacks and follows channel line from Peter Tufts' plan of 1810. Shows railway spur. Some notations in red ink including sf calculation dated June 1891.",,,"Mason, W.A. & Co.",,,1306,1 in = 30 ft,42.37347084,-71.09163957,1,,1,34 x 29,Survey Plan,Ink on textile,Buckling. Discoloration. Water damage.
Perkins_8_4,"Cambridge, MA","Plan of a part of the James Otis Estate in Cambridgeport to be sold by Public Auction on the premises on Thursday, May 20th 1875 at 1 o'clock P.M. [Plan 1307]",1875-05-20,1875-05-20,"Otis, James, estate","Cambridge, City of; Doyle, M.E.; Green, D.P.; Hannum, J.S.; Lamson, R.; Prath, E.W.; St. Clair, John M.; Savage, D.; Sawyer, J.S.; Smart, D.C.; Spencer, Hosea",Auburn Street; Blanche Street; Franklin Street; Front Street [Massachusetts Avenue]; Green Street,Auctioneer's plan showing 8 blocks of lots numbered 1 through 24 with dimensions and sf. Blanche and Franklin Streets are drawn as continuation of existing streets of same names. Decorative title block and border.,,,"Mason, W.A. & Co.","Meisel Brothers, lithographer",Samuel Hatch & Co.,1307,1 in = 40 ft,42.36183761,-71.10001493,1,,1,25 x 14,Auctioneer Plan,Lithograph on bond,Buckling. Discoloration. Edge damage. Water damage.
Perkins_8_5,"Cambridge, MA; Somerville, MA","Plan of Building Lots belonging to the City of Cambridge to be sold at Auction on May 24, 1883 at 3 o'clock P.M. [Plan 1346]",1883-05-24,1883-05-24,"Cambridge, City of",Holland,Broadway; Clarendon Avenue; Endicott Street; Farragut Street; Garrison Street; Weston Avenue,Auctioneer's plan showing 4 blocks of comprising 47 number lots with sf and dimensions. Two peripheral lots show building footprints and a stone quarry.,"Lots shown are within current boundaries of Somerville. Per urban atlases, Cambridge owned a quarry at Clarendon and Endicott Streets. J.W. Coveney is listed as having offices at 78 Cambridge Street in Cambridge.",,,"Fish, W.R., lithographer","Coveney, J.W.",1346,Not provided,42.40342162,-71.12994722,1,,1,19 x 12,Auctioneer Plan,Lithograph on bond,Discoloration.
Perkins_8_6,"Cambridge, MA",Copy from City Engineer's finished & bound Plans of Brighton Street widening 1874 (S. of Mt. Auburn Street) [Plan 1831],1874-01-01,,,,Brighton Street [John F. Kennedy Street],"Plan and elevation showing street layout with lots, dimensions, building footprints, and reference lines. Notes and lines indicate location and sf of land takings for widening.",Drawing is extremely faded and dirty with minimal metadata. Unclear location.,,,,,1381,Not provided,42.37212845,-71.12054929,1,,1,44 x 17,Engineering Drawing,Pencil on vellum,Buckling. Discoloration. Water damage.
Perkins_8_7,"Cambridge, MA",[Untitled - Copy of Jesse Fogg's lot],1848-04-01 (Copied 1848-10-01),,"Fogg, Jesse",,284 Broadway; Columbia Street; Elm Street,"Plan showing 32,750 sf lot with dimensions and sf and outline of house (shaded).  Lot outlined with red border. Indecipherable note on verso addressed to ""Mr. Banker."" Decorative title and border.",Jesse Fogg was a lumber dealer in Cambridge.,,"Mason, W.A. & Co. (Copied by Muzzey, H.W.)",,,1562,1 in = 20 ft,42.36817729,-71.09767581,1,,1,20 x 14,Survey Plan,Pen and  pencil on bond,Discoloration. Edge damage.
Perkins_8_8,"Cambridge, MA",[Untitled - State Street. Plan 1569],Not dated,,,Mason & Brooks,Front Street; State Street; Village Street,"Lot plan showing 30,975 sf lot with dimensions and sf.  Lot abuts a canal and is bordered in thick red line and abutting streets are shaded. Location of Village Street is sketched in. Note says: ""See comp. 835 for lotting.""  Decorative border, arrow, and titling.",,,"Mason, W.A. & Co. (Copied by Muzzey, H.W.)",,,1569,1 in = 20 ft,42.3623045,-71.09790895,1,,1,14 x 18.5,Survey Plan,"Pen, pencil, and watercolor on bond",Discoloration. Edge damage.
Perkins_8_9,"Boston, MA",[Untitled - Mill-Dam Road. Plan 1570],1848-11-01,,"Fields, G.C.; Phelps, Jonas","Mackin, Charles; Nichols",Mill-Dam Road,"Lot plan showing 21,780 sf lot with dimensions and sf. Lot is bordered in thick red line and abutting street is shaded. Decorative arrow and titling.",Location is unclear but Mill Dam Road evolved into Beacon Street and Western Avenue during the mid-19th-century.,,"Mason, W.A. & Co.",,,1570,1 in = 20 ft,,,1,,1,10 x 15.5,Survey Plan,"Pen, pencil, and watercolor on bond",Ink blot in plan center.
Perkins_8_10,"Cambridge, MA",Land of Hosea Spencer in Cambridgeport [Plan 1573],1877-08-22,,"Spencer, Hosea","Brooks, Sylvanus",Harrison Street [Defunct]; Moore Street  [Defunct]; Washington Street,"Subdivision plan showing five lots with dimensions and sf. Note indicates measurements taken to fences.  Text in thick brown ink, property boundaries in thin red lines.",Block of lots have been subsumed by Newtowne Court Development.,,"Mason, W.A. & Co.",,,1573,1 in = 20 Ft,42.36404606,-71.09488119,1,,1,12.5 x 12,Survey Plan,Pen on vellum,
