Identifier,Latitude,Longitude,Folder,Date,City/Town ,Property Owner ,Survey Title ,Streets ,Neighbors ,Notes,Background Notes ,Material Type,Surveyor 
Perkins_M_T138-15_bp,42.355388,-71.105892,T138 bp,1915-11-15,"Cambridge, MA",Boston & Albany R.R. Co.,,"Chestnut St, Waverly St",Boston & Albany Rail Road Company,blueprint,,blueprint,W.A. Mason & Son; T.S. Newman
Perkins_M_T138-16_bp,42.363986,-71.105908,T138 bp,1915-08-01,"Cambridge, MA",Gertrude M. Walker,,"Magazine St, Auburn St, William St","Alice L. Dow, Mary E. Dunn",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T138-16_bp,42.363986,-71.105908,T138 bp,1915-08-01,"Cambridge, MA",Gertrude M. Walker,,"Magazine St, Auburn St, William St","Alice L. Dow, Mary E. Dunn",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T138-3,42.36353,-71.110393,T138,1915-12-01,"Cambridge, MA",,Plan of Premises,"River St, Howard St, Sullivan Place",,,,,W.A. Mason & Son Co.
Perkins_M_T138-4,42.413968,-71.146136,T138,1915-12-01,"Arlington, MA",,Plan of Premises,"Palmer St, Warren St",,,,,W.A. Mason & Son Co.
Perkins_M_T138-6,42.373253,-71.124678,T138,1915-12-01,"Cambridge, MA",The University Press,,"Gerry St, Ross St",Edmund Radding,,,,W.A. Mason & Son Co.
Perkins_M_T138-8,42.371156,-71.093597,T138,1915-08-01,"Cambridge, MA",Emaculate Conception Church,,"Webster Ave, Windsor St, Lincoln St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-10,42.367708,-71.160722,T139,1916-01-06,"Watertown, MA",,Subdivision,"Quimby St, Chestnut Park, Dexter Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T139-10,42.367708,-71.160722,T139,1916-01-06,"Watertown, MA",,Subdivision,"Quimby St, Chestnut Park, Dexter Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T139-11,42.364525,-71.111117,T139,1916-02-10,"Cambridge, MA","Nesson, Israel",,"Western Ave, Howard St, Gilmore St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-14,42.362785,-71.086285,T139,1916-01-01,"Cambridge, MA","Epstein, Isaac; Litter, Jacob S.",,"Main St, Pioneer Ave, Broadway","Nicholas Halberg, Boston Elevated Railway Co.",,,,W.A. Mason & Son Co.
Perkins_M_T139-18_bp,42.36135,-71.1155,T139 bp,1915-12-29,"Cambridge, MA",,Plan,"River St, Charles River Rd",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T139-2,42.381246,-71.135096,T139,1916-02-29,"Cambridge, MA",Appleton Realty Trust,,"Huron Ave, Appleton St, Lewis Ave, Reservoir St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-2_bp,42.381246,-71.135096,T139 bp,1916-02-29,"Cambridge, MA",Appleton Realty Trust,,"Huron Ave, Appleton St, Lewis Ave, Reservoir St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T139-20_bp,42.390406,-71.132183,T139 bp,1916-08-01,"Cambridge, MA","Giuseppe, Maria DiLeo",,"Bolton St, Sherman St (formerly Dublin St)","P. Slowey, Annie J. Devlin, Margarett E. Callahan",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T139-20_bp,42.390406,-71.132183,T139 bp,1916-08-01,"Cambridge, MA","Giuseppe, Maria DiLeo",,"Bolton St, Sherman St (formerly Dublin St)","P. Slowey, Annie J. Devlin, Margarett E. Callahan",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T139-3,42.373003,-71.099691,T139,1916-02-01,"Cambridge, MA","Cassedy, James S.; Lynch, Albert E.",,"Hampshire St, Cambridge St",Jacob S. Litter,,,,W.A. Mason & Son Co.
Perkins_M_T139-7,42.286937,-71.110296,T139,1915-11-18,"Boston, MA","Parsons, S. Morgan",,"Canterbury St, Ashland St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-8,42.398092,-71.177684,T139,1916-02-12,"Cambridge, MA",,Plan of Land,"Concord Ave, Wellington St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-8_bp,42.398092,-71.177684,T139 bp,1916-02-12,"Cambridge, MA",,Grading Plan,"Concord Ave, Wellington St",Number assigned by cataloger,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T139-8,42.398092,-71.177684,T139,1916-06-15,"Cambridge, MA",,Plan of Land,"Concord Ave, Wellington St",,,,,W.A. Mason & Son Co.
Perkins_M_T139-9,42.367367,-71.098183,T139,1915-12-01,"Cambridge, MA",,,"Elm St, Columbia St, Harvard St",John Magee,,,,W.A. Mason & Son Co.
Perkins_M_T14-1,42.387629,-71.128476,T14,1888-09-10,"Cambridge, MA",,Plan of House Lots on Walden Sq,Walden St,"John Worster, FH Rindge, Parry",Same as R14-2 but lacking title block,,,W.A. Mason & Son Co.
Perkins_M_T14-10,42.386139,-71.125628,T14,1887-01-01,"Cambridge, MA","Mason, Charles A.",,"Bellevue Avenue, Ramond St","DW Gage, JD Long, S. Miles, JD Eastabrook, Prof. EJ Young, JS Ladd, Jones Rindge, James Huntington",nice title block,,,W.A. Mason & Son Co.
Perkins_M_T14-11,42.363412,-71.138132,T14,1890-06-27,"Brighton (Boston, MA)","Gooch, J.; Gooch, N.",Gooch's Wharf,"River St, Western Ave","Cambridge Savings Bank, late Edmund Rice, Ludgate, Charles River","elaborate title block, shows stone walls, edge of Charles River, channel and low water, deed references",,,W.A. Mason & Son Co.
Perkins_M_T14-12,42.386119,-71.125681,T14,1884-12-01,"Cambridge, MA","Mason, Charles A.",,Bellevue Ave,James Huntington,"nice title block and northarrow, drawing of pointing hand to draw attention",,,W.A. Mason & Son Co.
Perkins_M_T14-2,42.387585,-71.128449,T14,1888-09-10,"Cambridge, MA",,Plan of House Lots on Walden Sq,"Walden St, Raymond St","John Worster, FH Rindge, Parry, Bros & Co., Alfred Wood, Mary A. Ladd, Sam'l Bradbury, Charles H. Coffin, Enoch Beane, Sam'l V. Buskirk, Thomas Stearns",,,,W.A. Mason & Son Co.
Perkins_M_T14-9,42.372091,-71.08658,T14,1889-01-15,"Cambridge, MA",West End Street Railway Co.,,"Carson St, Cambridge St",Eighth Street Stables,"elaborate title block, shows stables and car house",,,W.A. Mason & Son Co.
Perkins_M_T140-10,42.36334,-71.359946,T140,1926-05-01,"Wayland, MA","Bullard, W.A.",,"State Rd, Main St, Millbrook Rd,",Presently (2017) Wayland Safety Building/Police/Fire/Rescue,,,,W.A. Mason & Son Co.
Perkins_M_T140-13_bp,42.453442,-71.227155,T140 bp,1926-04-01,"Lexington, MA","Wheeler, Harry A.",,"Somerset Rd, Hancock St","Ellen D. Spaulding, Edmund S. Kelley, Margaret G. Brown, Lexington Historical Society, Clara B. Putnam, Orrin W. Fisk",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-13_bp,42.453442,-71.227155,T140 bp,1926-04-01,"Lexington, MA","Wheeler, Harry A.",,"Somerset Rd, Hancock St","Ellen D. Spaulding, Edmund S. Kelley, Margaret G. Brown, Lexington Historical Society, Clara B. Putnam, Orrin W. Fisk",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-14_bp,42.355381,-71.107217,T140 bp,1926-06-21,"Cambridge, MA","Reardon, Edmund",,"Chestnut St, Sidney St, Waverly St, Henry St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-14,42.355381,-71.107217,T140,1926-12-15,"Cambridge, MA","Reardon, Edmund",,,3 sheets of paper with calculations,,,,W.A. Mason & Son Co.
Perkins_M_T140-16_bp,42.364965,-71.102464,T140 bp,1926-04-01,"Cambridge, MA","Bullock, Charles",,"Mass Ave, Massachusetts Ave, Norfolk St, Essex St","Mary L. Jones, Asa C. Lamson, Central Square Amusement Co.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-17_bp,42.373106,-71.099567,T140 bp,1926-02-01,"Cambridge, MA","Cassedy, James S.; Lynch, Albert E.",,"Hampshire St, Cambridge St, Inman Sq","Joseph L. P. St. Coeur & Eldac Richardson, Jacob S. Litter",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-18_bp,42.363602,-71.089858,T140 bp,1923-08-01,"Cambridge, MA","Willard, Francis L.",,"Main St, Harvard St","Susie J. Couiser, Mabel C. Welsh, Anna W.H. Nichols, Charles F. McCLure, J.D. Carhart, Oscar G. Peterson,",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-20,42.385866,-71.118633,T140,1926-02-05,"Cambridge, MA",E.A. Barnard Apartment Trust,,"Forest St, Mass Ave, Massachusetts Ave, Newport Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T140-20,42.385866,-71.118633,T140,1926-03-01,"Cambridge, MA",E.A. Barnard Apartment Trust,,"Forest St, Mass Ave, Massachusetts Ave, Newport Rd",,,,,W.A. Mason & Son Co.
Perkins_M_T140-20,42.385866,-71.118633,T140,9999-01-01,"Cambridge, MA",E.A. Barnard Apartment Trust,,"Forest St, Mass Ave, Massachusetts Ave, Newport Rd",information from other drawings in this set,,,,W.A. Mason & Son Co.
Perkins_M_T140-4,42.377489,-71.110763,T140,1926-05-06,"Cambridge, MA","Householders Trust; Andrews, E.A.",,"Irving St, Kirkland St",,,,,W.A. Mason & Son Co.
Perkins_M_T140-5,42.37135,-71.110892,T140,1926-05-21,"Cambridge, MA","Hederstedt, August N.",,"Ellery St, Harvard St",,,,,W.A. Mason & Son Co.
Perkins_M_T140-7_bp,42.389127,-71.183247,T140 bp,1911-01-01,"Belmont, MA","Chandler, F. Alexander",,"Waverley St, Waverley Terrace, Slade Ave",H.S. Harris,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-7,42.389127,-71.183247,T140,1922-11-22,"Belmont, MA",Waverley Club,,"Waverley St, Pearl St","letter asking for a new survey of property on Waverly St., in Belmont. Written by Alexander Chandler to W.A. Mason & Son",,,,Unknown
Perkins_M_T140-7,42.389127,-71.183247,T140,1922-11-24,"Belmont, MA",Waverley Club,,"Waverley St, Pearl St",,,,,W.A. Mason & Son Co.
Perkins_M_T140-7_bp,42.389127,-71.183247,T140 bp,1926-06-01,"Belmont, MA","Chandler, Alexander",,"Waverley St, Pearl St, Waverley Terrace",yellow chalk corrections,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-7_bp,42.389127,-71.183247,T140 bp,1926-06-01,"Belmont, MA","Chandler, Alexander",,"Waverley St, Pearl St, Waverley Terrace","""old""",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-7_bp,42.389127,-71.183247,T140 bp,1926-06-01,"Belmont, MA","Chandler, Alexander",,"Waverley St, Pearl St, Waverley Terrace","""old"" many corrections in yellow chalk",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T140-8,42.382557,-71.130407,T140,1926-03-01,"Cambridge, MA","Boyle; Daly, A.J.",,"Concord Ave, Huron Ave, Holly Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T140-9,42.380861,-71.134978,T140,1926-03-01,"Cambridge, MA",Appleton Realty Trust,,"Appleton St, Huron Ave, Reservoir St, Lewis Ave","L.H.Katon & Co., Real Estate Agt.",,,,W.A. Mason & Son Co.
Perkins_M_T140-9_bp,42.380861,-71.134978,T140 bp,1926-03-01,"Cambridge, MA",Appleton Realty Trust,,"Appleton St, Huron Ave, Reservoir St, Lewis Ave","L.H.Katon & Co., Real Estate Agt.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T141-1,42.37263,-71.104985,T141,1926-06-12,"Cambridge, MA",,,Maple Ave,"J.W. Bradley, Mary A. Quinlan, Caroline J. Humphrey",,,,W.A. Mason & Son Co.
Perkins_M_T141-1_bp,42.37263,-71.104985,T141 bp,1926-06-12,"Cambridge, MA",,,Maple Ave,"J.W. Bradley, Mary A. Quinlan, Caroline J. Humphrey",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T141-10,42.377441,-71.137794,T141,1926-07-26,"Cambridge, MA","Howe, Arria S.D.",,"Fayerweather St, Brattle St",,,,,W.A. Mason & Son Co.
Perkins_M_T141-11_bp,42.362706,-71.110291,T141 bp,1926-07-17,"Cambridge, MA","Ahern, John J.",,"Laurel St, Pleasant St, River St","Emma F. Stafford, Catherine Carruth, Eliza M. Lamb",blueprint,original spelling: John J. Ahearn,blueprint,W.A. Mason & Son Co.
Perkins_M_T141-12,42.375555,-71.109025,T141,1926-04-01,"Cambridge, MA","Pope, Edna N.",,"Baldwin St, Cambridge St",,,,,W.A. Mason & Son Co.
Perkins_M_T141-12_bp,42.375555,-71.109025,T141 bp,1926-04-01,"Cambridge, MA","Pope, Edna N.",,"Baldwin St, Cambridge St, Adams Terrace",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T141-2,42.375615,-71.120934,T141,1926-06-28,"Cambridge, MA","Howe, J. Murray",,"Garden St, Appian Way","Radcliff College, Christ Church",,,,W.A. Mason & Son Co.
Perkins_M_T141-4,42.371632,-71.088286,T141,1926-08-01,"Cambridge, MA",David W. Lewis Company,,"Portland St, Cambridge St, Boston & Albany freight Rr",,,,,W.A. Mason & Son Co.
Perkins_M_T141-5,42.369048,-71.09953,T141,1916-06-01,"Cambridge, MA","Conley, James J.",,"Broadway, Tremont St","Daniel Cronin, Mary Ginty",,,,W.A. Mason & Son Co.
Perkins_M_T141-6,42.357137,-71.158372,T141,1926-08-04,"Brighton (Boston, MA)","Dix, Ervin R.",,"Riverview Rd, Parsons St",,,,,W.A. Mason & Son Co.
Perkins_M_T141-7,42.372321,-71.092411,T141,1926-08-01,"Cambridge, MA","Fawcett, Robert W.",,"Cambridge St, Willow St",,,,,W.A. Mason & Son Co.
Perkins_M_T142-1,42.375143,-71.109052,T142,1916-10-14,"Cambridge, MA","Pope, Edna N.",,"Cambridge St, Baldwin St, Harvard Sq","Earnest Flintje, Boston Elevated Railway",,,,W.A. Mason & Son Co.
Perkins_M_T142-10,42.355436,-71.138095,T142,1916-10-14,"Allston (Boston, MA)","Hollis, John W.",,"Everett St, Hano St, Blaine St",,,,,W.A. Mason & Son Co.
Perkins_M_T142-11_bp,42.362131,-71.085856,T142 bp,1916-11-03,"Cambridge, MA",Suffolk Engraving & Electrotyping Co.,,"Main St, Hayward St, Carleton St, Deacon St","Walter F. Field & Son, Sarah Rosa Crane, J.L. Hammett Co.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-14_bp,42.372892,-71.090679,T142 bp,1916-10-01,"Cambridge, MA","DiRusso, Vincent; DiRusso, Maria",,"Harding St, Jefferson St, Hunting St, Cambridge St","Michael Gill, Sarah A. Morissey",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-15_bp,42.369769,-71.113005,T142 bp,1916-10-01,"Cambridge, MA","Southwick, Mary A.",,"Mass Ave, Massachusetts Ave, Putnam Ave, Green St, Putnam Sq","Abuttes: MacDonald, Mrs. George C. Howard, Maude C. LaMarche",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-16_bp,42.363729,-71.097137,T142 bp,1916-10-01,"Cambridge, MA","deMello, Antonio C.",,"School St, Cherry St, Main St, Windsor St","Sarah C.F. Wellington, W.R. Omant, W.H. Davis, Thomas Smith",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-17_bp,42.367137,-71.102207,T142 bp,1916-10-01,"Cambridge, MA","Shaw, Alice G.",,"Prospect St, Austin St, Harvard St","Jemimi B. Ward, Susan E. Raymond, H.H. Rogers, Ethel F. Kelley, Julia T. Dube",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-18_bp,42.369079,-71.102641,T142 bp,1916-09-28,"Cambridge, MA","Chandler, Albert M.",,"Inman St, Harvard St, Prospect St","Abel P. Cutter, Charles W. Tapley, Sarah L. Cook, William H. Ford",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-19_bp,42.37563,-71.120923,T142 bp,1916-10-01,"Cambridge, MA","Howe, J. Murray",,"Garden St, Appian Way","Radcliff College, Sarah P. Howe",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-2,42.358647,-71.102078,T142,1916-10-10,"Cambridge, MA","Scully, James J.; Scully, John T.",,"Waverly St, Albany St","Shepard Hairs,",,,,W.A. Mason & Son Co.
Perkins_M_T142-4,42.396694,-71.134495,T142,1916-09-01,"Cambridge, MA","Viano, Frank E.",,"Clay St, Harvey St, Dudley St",,,,,W.A. Mason & Son Co.
Perkins_M_T142-5,42.394384,-71.125107,T142,1916-09-01,"Cambridge, MA","Viano, Frank E.",,"Day St, Orchard St, Mass Ave, Massachusetts Ave",,,,,W.A. Mason & Son Co.
Perkins_M_T142-6,42.372619,-71.12124,T142,1916-09-01,"Cambridge, MA",Hadmoor Co.,,"Brattle St, Brattle Sq, Mount Auburn St","George A. Brackett, William Read",,,,W.A. Mason & Son Co.
Perkins_M_T142-6_bp,42.372619,-71.12124,T142 bp,1916-09-01,"Cambridge, MA",Hadmoor Co.,,"Brattle St, Brattle Sq, Mount Auburn St","George A. Brackett, William Read",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-6_bp,42.372619,-71.12124,T142 bp,1916-09-01,"Cambridge, MA",Hadmoor Co.,,"Brattle St, Brattle Sq, Mount Auburn St","George A. Brackett, William Read",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T142-7,42.395481,-71.141764,T142,1916-09-01,"Cambridge, MA","O'Sullivan, William J.",,"Rindge Ave,",Metropolitan Park,,,,W.A. Mason & Son Co.
Perkins_M_T142-8,42.390921,-71.119426,T142,1916-10-11,"Cambridge, MA","Brooks, William F.",,"Orchard St, Beech St, Elm St",William F. Brooks,,,,W.A. Mason & Son Co.
Perkins_M_T142-9,42.390914,-71.119426,T142,1916-10-01,"Cambridge, MA","Brooks, William F.",,"Orchard St, Beech St, Elm St",William F. Brooks,,,,W.A. Mason & Son Co.
Perkins_M_T143-1,42.358052,-71.102765,T143,1926-12-01,"Cambridge, MA","Shepard, Otis",,"Albany St, Waverly St, Erie St","Scully, Shepard, Presto-Lite Co.",,,,W.A. Mason & Son Co.
Perkins_M_T143-1,42.358052,-71.102765,T143,1926-12-01,"Cambridge, MA","Shepard, Otis",,"Albany St, Waverly St, Erie St","Scully, Shepard, Presto-Lite Co.",,,,W.A. Mason & Son Co.
Perkins_M_T143-1,42.358052,-71.102765,T143,1927-01-18,"Cambridge, MA","Shepard, Otis",,"Albany St, Waverly St, Erie St",letter to W.A. Mason & Son from Brantin H. Kellogg,,,,W.A. Mason & Son Co.
Perkins_M_T143-10,42.375234,-71.136786,T143,1926-12-01,"Cambridge, MA","Conley, James J.",,Mount Auburn St Elmwood Ave Traill St,,,,,W.A. Mason & Son Co.
Perkins_M_T143-11_bp,42.362706,-71.08614,T143 bp,1926-11-03,"Cambridge, MA",Suffolk Engraving & Electrotyping Co.,,"Main St, Hayward St, Carleton St","J.L. Haammett Co., Walter W. Field & Son, Sarah Rosa Crane",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-12_bp,42.364026,-71.097116,T143 bp,1926-10-01,"Cambridge, MA","deMello, Antonio C.",,"Cherry St, School St, Windsor St","Sarah C.F. Wellington, W.R. Omant, W.H. Davis, Thomas Smith",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-12_bp,42.364026,-71.097116,T143 bp,1926-10-01,"Cambridge, MA",,Plan of Land,"Cherry St, School St, Windsor St","Mamie R. Oomant, Thomas Smith, Sarah C.F. Wellington, Adelaide H. Davis",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-14_bp,42.373233,-71.090555,T143 bp,1926-10-01,"Cambridge, MA","DiRusso, Vincent; DiRusso, Maria",,"Cambridge St, Hunting St, Harding St, Jefferson St","Sarah A. Morrissey, Delia Linskey, Michael Gill",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-15_bp,42.366043,-71.10373,T143 bp,1926-10-01,"Cambridge, MA","Shaw, Alice G.",,"Prospect St, Austin St","Jemimi B. Ward, Susan E. Raymond, Ethel F. Kelley",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-16_bp,42.395375,-71.1417,T143 bp,1926-09-01,"Cambridge, MA","O'Sullivan, William J.",,Rindge Ave,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-16_bp,42.395375,-71.1417,T143 bp,1926-09-01,"Cambridge, MA","O'Sullivan, William J.",,Rindge Ave,,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-18_bp,42.397403,-71.135976,T143 bp,1926-11-17,"Cambridge, MA","Franceschi, Paolo; Franceschi, Massaschi Rosina",,"Jackson St, Dudley St, Harvey St",Joseph D. Roy,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-18_bp,42.397403,-71.135976,T143 bp,1926-11-17,"Cambridge, MA","Franceschi, Paolo; Franceschi, Massaschi Rosina",,"Jackson St, Dudley St, Harvey St",Joseph D. Roy,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-19_bp,42.371905,-71.088334,T143 bp,1926-11-01,"Cambridge, MA",David W. Lewis Company,,"Portland St, Cambridge St",Boston & Albany Freight Railroad,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-20_bp,42.357101,-71.103832,T143 bp,1914-03-01,"Cambridge, MA","John Reardon & Sons Co.; Reardon, Edmund",,"Talbot St, Reardon St, Anglim St, Waverly St, Allston St, Erie St, Albany St","United States Column Co., Fort Washington Park",blueprint. Updated 11/10/1916,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-21_bp,42.35701,-71.103762,T143 bp,1926-11-01,"Cambridge, MA",John Reardon & Sons Co.,,"Reardon St, Anglim St, Waverly St, Erie St, Albany St",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-23_bp,42.369618,-71.113279,T143 bp,1926-10-01,"Cambridge, MA","Southwick, Mary A.",,"Green St, Putnam Ave, Mass Ave, Massachusetts Ave","MacDonald, Mrs. George C. Howard, Maude C. LaMarche,",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T143-3,42.400406,-71.13015,T143,1917-01-01,"Cambridge, MA; Somerville, MA","Blewett, Henry S.",,"Newbury St, Washburn Ave",Morton B. Howard sole agent,,,,W.A. Mason & Son Co.
Perkins_M_T143-4,42.363118,-71.099203,T143,1926-12-05,"Cambridge, MA",,,"Main St, Columbia St, Mass Ave, Massachusetts Ave, Sidney St, Blanche St",,,,,W.A. Mason & Son Co.
Perkins_M_T143-6,42.373986,-71.113536,T143,1926-11-06,"Cambridge, MA","Hoffman, Anna M.",,"Broadway, Prescott St",James J. Conley,,,,W.A. Mason & Son Co.
Perkins_M_T143-8,42.362088,-71.084756,T143,1926-11-27,"Cambridge, MA",,,"Main St, Wadsworth St, Hayward St",,,,,W.A. Mason & Son Co.
Perkins_M_T143-9,42.385739,-71.190848,T143,1926-11-20,"Belmont, MA; Waverly, MA","Chandler, F. Alexander",,"Lexington St, Sycamore St",,,,,W.A. Mason & Son Co.
Perkins_M_T145-1_bp,42.362983,-71.106316,T145 bp,1917-06-26,"Cambridge, MA","Dows, Eleanor G.",,"Cottage St, Magazine St","Phaney R. Emmons, Fred O. Robinson, Stella F. Morrill",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-1_bp,42.362983,-71.106316,T145 bp,1917-06-26,"Cambridge, MA",,Plan of Land,"Cottage St, Magazine St","Phaney R. Emmons, Fred O. Robinson, Stella F. Morrill",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-11,42.378999,-71.129211,T145,1917-05-01,"Cambridge, MA",,Buckingham Place,Buckingham St,"Albert H. Hart, W.M. Griswold, M.P. Bailey, Robert B. Stone, E.A. Thackray, The Buckingham School",,,,W.A. Mason & Son Co.
Perkins_M_T145-12,42.371743,-71.106584,T145,1917-05-25,"Cambridge, MA","Howard, George H. ",,"Highland Ave, Broadway",John J. Bright,George H. Howard,,,W.A. Mason & Son Co.
Perkins_M_T145-12_bp,42.371743,-71.106584,T145 bp,1917-05-25,"Cambridge, MA","Howard, George H. ",,"Highland Ave, Broadway",John J. Bright,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-15_bp,42.366979,-71.091671,T145 bp,1917-06-21,"Cambridge, MA","Sennott, Margaret A.",,"Portland St, Hampshire St, Lilac Court","Auffifa Rahwan, Katherine G. Bresnahan, Mary E. Rudge",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-2_bp,42.361346,-71.1155,T145 bp,1917-05-25,"Cambridge, MA",,Plan of Land,"Charles River Rd, River St","Robert O. Fuller, G.H. Rugg, Robert W. Rivers",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-2_bp,42.361346,-71.1155,T145 bp,1917-08-08,"Cambridge, MA",,Plan of Land,"Charles River Rd, Pleasant St","Robert O. Fuller, G.H. Rugg, Dover Stamping Co.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-4,42.385026,-71.1317,T145,1917-06-02,"Cambridge, MA","Riley, John M.",,"Donnell St, Garden St","Edwin Dresser, Mary A. Tierney, Mary Fleming",,,,W.A. Mason & Son Co.
Perkins_M_T145-4_bp,42.385026,-71.1317,T145 bp,1917-06-02,"Cambridge, MA","Riley, John M.",,"Donnell St, Garden St","Edwin Dresser, Mary A. Tierney, Mary Fleming",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T145-5,42.375595,-71.145616,T145,1917-06-26,"Cambridge, MA","Brooks, William F.",,"Mount Auburn St, Aberdeen Ave","Elanor Tudor, Mt. Auburn Cemetery Corp., William H. Power",,,,W.A. Mason & Son Co.
Perkins_M_T145-6,42.395303,-71.171086,T145,1917-06-29,"Belmont, MA","Dunsford, Isaac; Dunsford, Elizabeth",,Concord Ave,Anna Jane Patterson (Penney),,,,W.A. Mason & Son Co.
Perkins_M_T145-9,42.370518,-71.101542,T145,1917-05-25,"Cambridge, MA","Beitler, Morris",,Amory St,,,,,W.A. Mason & Son Co.
Perkins_M_T145-9_bp,42.370518,-71.101542,T145 bp,1917-05-25,"Cambridge, MA","Beitler, Morris",,"Amory St, Summer ST",,blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T146_bp,42.327014,-71.071544,T146 bp,1917-07-02,"Roxbury (Boston, MA)",Beckwith Boxtoe Co.,,"Norfolk Ave, Kemble St, Magazine St","John H. Bessarick, Standard Assets Co.",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T146-1,42.363205,-71.089311,T146,1917-10-01,"Cambridge, MA",Riverside Boiler Works,,"Main St, Harvard St",,,,,W.A. Mason & Son Co.
Perkins_M_T146-10,42.360019,-71.108065,T146,1917-09-24,"Cambridge, MA","Byrne, John B.",,"Erie St, Pearl St",,,,,W.A. Mason & Son Co.
Perkins_M_T146-12,42.363879,-71.063669,T146,1917-08-01,"Boston, MA",,,Staniford St,,,,,W.A. Mason & Son Co.
Perkins_M_T146-12,42.363879,-71.063669,T146,1917-08-01,"Boston, MA",,,Staniford St,,,,,W.A. Mason & Son Co.
Perkins_M_T146-13_bp,42.359515,-71.115328,T146 bp,1917-08-08,"Cambridge, MA",,Plan of Land,"Charles River D, Pleasant St","Mrs. Robert O. Fuller, Dover Stamping Co., G.H. Rugg",blueprint,,blueprint,W.A. Mason & Son Co.
Perkins_M_T146-15_bp,42.378044,-71.120778,T146 bp,1918-01-01,"Cambridge, MA",First Church of Christian Scientist,,"Waterhouse St, Follen St, Mass Ave, Massachusetts Ave",,blueprint,,blueprint,W.A. Mason & Son Co.
