identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W45_1408_1-3,Gray Estate,"Dorchester (Boston, MA)",Plan of Land in Dorchester between Bird St. Station and Blue Hill Avenue belonging to the Gray Estate and Estate of Jasper Cunningham showing proposed streets and lots.,1886-12-01,"Gray, Estate of; Cunningham, Jasper, estate of.",,Blue Hill Avenue; Brookford Street; Cherry Street [Dacia]; Dove Street; Hartford Street; Howard Avenue; Howard Street; Myrtle Street; Phipps Street; Quincy Street; Rand Street and Square; Sargent Street; Woodward Park Street,"3 variants of #1406. Shows lots, some with building footprints. Three sheets show street wastage calculations. Some sheets have red penciled annotations.","Gray estate related to William Gray Jr., president of the Massachusetts Horticultural Society. Part of the Cunningham Estate was eventually divided by Cunningham Street.",,"Whitney, William H.",,1408-1734/1408-1736,,1 in = 100 ft,42.31648,-71.0747,Survey Plan,4,,1,27 x 25,Blueprint,"Each sheet is 2 panels, taped. Edge damage. Tears. Sheet dimensions given for longest width or height.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1409_1-3,Bay State Road,"Boston, MA",[Untitled - 4 studies of Beacon and Brookline Intersection],1887-02-14,,Boston & Albany Railroad,[Baystate Road]; Beacon Street; Brookline Avenue; Charles River Embankment; Commonwealth Avenue; [Deerfield Street]; Kenmore Street; West Newbury Street,"4 studies showing subdivision layouts for multiple blocks for townhouses. Plans show new streets, alleyways, and islands. Lots are roughly dimensioned. ","Per various 1880s Bromley Atlases, various parcels on this block were owned by the Adams (see studies for Adams' land).",,"Whitney, William H.",,1409-1737/1409-1740,,1 in = 80 ft,42.3482355,-71.0981,Survey Plan,4,,1,17 x 16.5,Blueprint,"2 panels, separated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1410,Andrews Estate,"Dorchester (Boston, MA)","Plan of House Lots on the William T. Andrews Estate, Dorchester.",1886-12-01,"Andrews, William T. ",,Clapp Place; Cottage Street; Dorchester Avenue; Mount Vernon Street; Pond Street,Subdivision plan showing five blocks comprising lots numbered 1 thru 103. Lots show sq. ft. and dimensions and 2 new unnamed roads and one right of way.,,,"Whitney, William H.",,1410-1741,,1 in = 50 ft,42.31933492,-71.0591,Survey Plan,1,,1,27 x 20,Blueprint,"2 panels, taped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1411,Gray Estate,"Dorchester (Boston, MA)","Streets to be graded. Proposed Streets on Estate of William Gray, Jr.",1887-02-23,"William Gray, Jr., Estate of",,Blue Hill Avenue; Brookford Street; Hartford Street; Howard Avenue; Howard Street; Maywood Street; Rand Street and Square; Sargent Street,"Specifications brochure containing cover page, 11 pages of handwritten specs, and plan for proposed streets No. 1 thru 4. Plan show street cuts. Verso of first page contains notice regarding instructions for delivery of bids and indication that plans and specifications may be seen at Whitney's Office. Verso of plan indicates ""For tracings see Portfolio of Tracings, same number.""","Gray estate related to William Gray Jr., president of the Massachusetts Horticultural Society. Part of the Cunningham Estate was eventually divided by Cunningham Street.",,"Whitney, William H.",,1411-1742,,1 in = 100 ft,42.31648,-71.0747,Specifications,6,2,1,15.5 x 14,Blueprint,Pages folded in half. Staple marks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1412,,"West Roxbury (Boston, MA)",[Untitled - Cottage Avenue],1887-02-22,,"Shaw, Francis G., heirs; Standard Rubber Co.",Cottage Avenue [St. Teresa Avenue]; LaGrange Street,"Subdivision plan showing 9 lots of varying sizes. Building footprints, sq. ft and dimensions shown. Plan has no title; indicates it is a copy.","Per late 19th Century urban atlases, the property was owned by the Crosby family and known as Wildwood.",,"Whitney, William H.",,1412-1743,,1 in = 40 ft,42.27549349,-71.1518,Survey Plan,1,,1,26.5 x 21,Blueprint,Creases. Tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1413,,"Boston, MA",[Untitled - Linden Park / Simmons Street],1887-05-05,,"Nichols, Elizabeth L.",Linden Park [defunct]; Simmons Street [defunct]; Stony Brook,"Subdivision plan showing 9 lots numbered 1 through 9. Sf and areas included. Shows ""Common Passage with Driveway 25-foot-wide. Dotted line annotated to say Sold to E. A. Nichols. Red penciled notations.",Subdivision shown in 1890 Bromley Atlas; land owned by Lawron family in highly industrial neighborhood. Now near Malcolm X Boulevard.,,"Whitney, William H.",,1413-1744,,1 in = 20 ft,42.33200526,-71.091,Survey Plan,1,,1,14.5 x 16,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1414,Bay State Road,"Boston, MA",[Untitled - Beacon Street and Baystate Road - Materials estimate],1887-05-26,,,Bay State Road; Back Street; Beacon Street; Commonwealth Avenue; [Deerfield Road]; Jersey Street [West Charlesgate]; Charles River,Document showing street layout and elevations with table of estimates for grading. Contains penciled annotations.,,,"Whitney, William H.",,1414-1745,585,Horiz: 1 in = 200 ft; Vert: 1 in = 4 ft,42.35012945,-71.0977,Specifications,1,,1,15.5 x 11.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1415,,"Boston, MA",[Untitled - Centre Street / Pynchon Street],1887-05-24,,,Centre Street; Highland Street; New Heath Street; Penryth Street [Nathanial Askia Way]; Pynchon Street [Rout 28].,Subdivision plan showing 44 numbered lots with sf/ft and areas.,Land originally owned by Hannah Dudley. ,,"Whitney, William H.",,1415-1746,,1 in = 50 ft,42.32551,-71.0971,Survey Plan,1,,1,25.5 x 13,Blueprint,"2 panels, taped. Seam damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1416,Bay State Road,"Boston, MA",[Untitled - Beacon Street and Baystate Road - RFP],1887-06-02,,,Bay State Road; Back Street; Beacon Street; Commonwealth Avenue; [Deerfield Road]; Jersey Street [West Charlesgate]; Charles River,"Request for proposal with handwritten text related to project and inset map with roads labeled A thru E. Instructions to bidders: ""Make your proposal thus...CTS per yard; If from Clarendon Street....CTS per yard."" showing street layout and elevations with table of estimates for grading. Contains penciled annotations.",Related to series of plans for the Back Bay area that is now Baystate Road at Deerfield,,"Whitney, William H.",,1416-1747,585,Horiz: 1 in = 200 ft; Vert: 1 in = 4 ft,42.35012945,-71.0977,Specifications,1,,1,15.5 x 13.4,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1417,Gray Estate,"Dorchester (Boston, MA)",[Untitled - Plan of Land in Dorchester between Blue Hill Avenue and Howard],1887-04-12,"[Gray, Estate of; Cunningham]",,Blue Hill Avenue; Brookford Street; Dacia Street; Dalmatia Street [Woodcliffe Street]; Damascus Street [Dewey Street]; Edgewood Street; Hartford Street; Howard Avenue; Myrtle Street; Rand Street; Sargent Street,"Subdivision plan showing 7 blocks of lots and 20-ft-wide passageway. Lots display dimensions and areas. Includes footprints of existing buildings. Several lots labelled ""sold."" penciled in notation. Contains stamp for L. Foster Morse at 56 Warrant Street.","L. Foster Morse was a Boston businessman and active in city development, worked in real estate in the 1880s.",,"Whitney, William H.",,1417-1748,,1 in = 100 ft,42.31648,-71.0747,Survey Plan,1,,1,22 x 18,Brownline on vellum,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1418,Bay State Road,"Boston, MA",[Untitled - Beacon Street and Baystate Road],1887-07-15,Boston & Roxbury Mill Corporation,,Bay State Road; Back Street; Beacon Street; Commonwealth Avenue; [Deerfield Road]; Jersey Street [West Charlesgate]; Charles River,Subdivision plan for one block showing 24 numbered lots with dimensions and square foot area.,Related to series of plans for the Back Bay area that is now Baystate Road at Deerfield,,"Whitney, William H.",,1418-1749,585,1 in = 50 ft,42.35019004,-71.0942,Survey Plan,1,,1,19.5 x 13,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1419,,"Manchester, VA","Plan of Land near Manchester, Virginia",1887-10-13,Chesterfield Land and Improvement Company,"Cabell, J. Grafton; Drewry, H. M.; English Company Coal Yard; Luckett, Amelia & Nannie; Mara Coal Yard; Mason, C. R.; McCance & Co. Shipyard; Mid Lothian Co.; Ordway, Albert; Richmond and Danville Railroad",James River; Morgan Street; Wadsworth Street.,"Subdivision plan showing lots numbered 1 through 13. Lots are labelled by acreage. Some indicate transactions; one has table of arable versus beach property. Shows outlines coal wharf, brick yard, distillery, steam boat wharf, and other structures. Note indicates water and recent filling of acres. ","The Chesterfield Land Co. was incorporated in 1871; one founder was Drewry, after which a street and an island was named. 1877 Beers Atlas shows many of the landmarks on the survey. https://lva.primo.exlibrisgroup.com/permalink/01LVA_INST/altrmk/alma990017362930205756",,Fuller & Whitney,,1419-1750,,1 in = 5 chains (330 feet),37.52059836,-77.4191,Survey Plan,1,,1,27 x 16.5,Blueprint,2 panels taped. Edge damage. Seam split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1420,,"Humboldt Co., NV","Map of the Olompoli Tunnel and Mining Co.'s Properties, Humboldt Co., Nevada",Not identified,,Central Pacific Railway,Black Canyon; Eldorado Canyon; Olompoli Tunnel,"Layout of roads, mining sites, natural features. Overlaid by a grid which divides the area into numbered sections. Some areas labelled ""sold."" Indicates ""registered at Land Office Carson City.""",See USGS Report: https://pubs.usgs.gov/bul/0414/report.pdf,,"Garside, George W.",,1420-1751,,Scale not given,40.58607964,-118.243,Survey Plan,1,,1,19.5 x 17.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1421,,"Boston, MA",[Untitled - Lands along Charles River],1887-12-17,"Child, S.; Corey, Elijah; Craft, Susanna; Heath, Ebenezer; Mill Dam Company; Richards, A.; Walcutt Farm; White, Thomas; Whitney, E.",,,"Schematic plan showing Charles River Embankment with abutting landowners. Red pencil notations, which indicate for ""B & R Mill"" and ""line parallel with Harbor Line taken as ….""",,,"[Whitney, William H.]",,1421-1752,,1 in = 150 ft,,,Survey Plan,1,,1,29 X 11,Blueprint,"2 panels, taped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1422,,"North End (Boston, MA)",[Untitled - Salem Street],1887-12-17,,"Bradless, Helen C.; Doherty, H.; Hartan; McKenna; Metcalf, M.; Parkinson; ","64, 66, 68 Salem Street","Plot plan showing footprint of two brick buildings; two wooden buildings; two sets of sheds; one privy. Perimeter measurements and area of 4,039 sq/ft.","Per 1888 Bromley Atlas, lots belonged to Mary and Martha Bancroft. ",,"Whitney, William H.",,1422-1753,,1 in = 8 ft,42.36340081,-71.0561,Survey Plan,1,,1,14 x 22.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W46_1424-1425,Alvin Adams Estate Plans,"Watertown, MA","Alvin Adams Estate Plans Number Four showing farm lot [Schemes C,D]",1888-03-05,"Alvin Adams Estate, Trustees",,Mount Auburn Street; Nichols Avenue; School Street; Spruce Street,"Subdivision ""scheme"" plans C and D. Shows multiple blocks with street layouts; outline of existing buildings and whole area calculations. Building footprints on adjacent areas.","The estate was also known as ""Fountain Hill,"" then ""Fairlawn"". Alvin Adams was founder of a pioneer rail shipment company, Adams Express. Adams owned a townhouse at 222 Beacon Street, a Back Bay connection. See Wikipedia profile.",,Fuller & Whitney,,1424-1755/1425-1757,,1 in = 100 ft,42.3685568,-71.166,Survey Plan,2,,1,29 x 24,Blueprint,"Each sheet is 2 panels, taped. Tears.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1473-1481,MIT / Area 2,"Cambridge, MA",Plan of Lands in Cambridge Abutting on Charles River Embankment showing Proposed Streets - Study No. 1 thru Study No. 9,1888-02-01,Charles River Embankment Company,"Boston and Albany Railroad, Branch of",Albany Street; Brewery Street; Broadway; Chestnut Street; Harvard Bridge {Massachusetts Avenue Bridge]; Harvard Street; Hastings Square; Henry Street; [Main Street]; [Memorial Drive]; Pelham Street; Pioneer Street; Sidney; Sixth Street; sections of other streets ,"9 variants of a subdivision and street layout for the area of Cambridge along the Charles River Embankment. Shows standard dimensions and sq/ft. Includes sq ft and percent calculations for waste in streets and passageways (some calculations have been crossed out and revised). Some variants say ""Waste Corporation Ames and Southern Lands."" Study no. 9 contains box that states: ""This plan shows suggestions for the Layout out of the Lands of the Charles River Embankment Co. and Others. F. H. Viaux. Feb. 1888.""","Covers what is now the designated Area 2/MIT area of Cambridge, within Albany Street, Main Street, Memorial Drive. Following infill of marshland, various developers and MIT were interested in developing this area of Cambridge.",,"Whitney, William H.",,1473-1923/1481-1931,,1 in = 200 ft,42.3575002,-71.0927,Survey Plan,9,,1,41 x 15.5,Blueprint,"Each sheet is 3 panels, taped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1482,Charles River Embankment,"Cambridge, MA",Suggestions for the Laying Out of the Lands of the Charles River Embankment Co. and Others.,1888-02-01,Charles River Embankment Company,"Boston and Albany Railroad, Branch of",Albany Street; Brewery Street; Broadway; Chestnut Street; Harvard Bridge {Massachusetts Avenue Bridge]; Harvard Street; Hastings Square; Henry Street; [Main Street]; [Memorial Drive]; Pelham Street; Pioneer Street; Sidney; Sixth Street; sections of other streets ,"Variants of item #1481-1931 (Study No. 9) crediting Viaux as creator and indicating ""from office of W.H. Whitney."" Shows street layout for the area of Cambridge along the Charles River Embankment. Shows standard dimensions and sq/ft. Includes sq ft and percent calculations for waste in streets and passageways. Note states: ""Waste Corporation Ames and Southern Lands.","Covers what is now the designated Area 2/MIT area of Cambridge, within Albany Street, Main Street, Memorial Drive. Following infill of marshland, various developers and MIT were interested in developing this area of Cambridge.",,"Viaux, Frederick H.; Whitney, William H. [From Office]",,1482-1932,,1 in = 200 ft,42.3575002,-71.0927,Survey Plan,1,,1,41 x 15.5,Blueprint,"Each sheet is 3 panels, taped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1483,,"Boston, MA",[Untitled - Beacon and Hereford Streets],Not identified,Boston and Roxbury Mill Corporation,"Amory, Harcourt; Barr, Isaac T., Jr.; Blake, M.C.; Cabot, Samuel; Sears, Emily E.; Head, Charles; Higginson, George; Hodges, Richard M.; Matthews, Nathan, Jr.; Perkins, Charles E.; Pickman, Dudley L.; Quincy, H. P.; Saltonstall, W. G.; Simes, William",Beacon Street; Hereford Street; West Chester Park [Massachusetts Avenue],Plan showing two blocks of lots with lot widths. Show house numbers for Beacon Street from 402 to 409 [not exact to current numbering]. Street names are shown in red pencil.,"Appears to be a draft or snippet from a larger plan. Based on abutters shown as compared to Bromley atlases, appears to be c. 1888; previously much of the land was owned by Boston and Roxbury Mill Corp.",,"Whitney, William H.",,1483-1933,,Scale not given,42.35160021,-71.087,Survey Plan,1,,1,15.5 x 4,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1484-1486,,"Boston, MA",[Proposed Streets - Studies No. 1 - No. 3],1888-04-01,,Boston and Providence Railroad,Bryant Street; Columbus Avenue; Gainsborough Street; Grinnell Street {Defunct]; Huntington Avenue; Northampton Street; Rogers Avenue [Forsyth Street]; St. Botolph Street; Waldo Street [Defunct]; West Chester Park [Massachusetts Avenue]; Westfield Street; Whitman Street [Defunct],"3 studies of proposed street layouts. Shows select dimensions, passageways; and dashed outlines existing streets and lot boundaries. Red pencil notation: See plan 941, 1397, C-204.","In 1888, much of this section was used for railroad activities.",,"Whitney, William H.",,1484-1934/1486-1936,,1 in = 100 ft,42.33952401,-71.0894,Survey Plan,3,,1,26 x 16,Blueprint,"Each sheet is 2 panels, taped. Discoloration. Edge damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1487,,"Malden, MA","Copy of Plan of the Estate of Chas. M. Holmes, Malden Center, Mass.",1869-07-01,Charles M. Holmes Estate,,Cedar Street; Clifton Street; Holmes Street,"Subdivision plan showing 24 numbered lots, streets, footprints of mansion, barn, house, cottages, and sheds,, all contained within measured property outline. Some lots show sq. ft, others indicate ""sold."" Indicates plan was recorded in Middlesex Registry and comprised 10 acres or more. Indicates: Designed by Jos. H. Curtis, Civ. Eng.; Outline survey made in 1862 by G.F. Sargent.","1883 Walker Atlas of Malden shows that land had already been subdivided; street was named after Holmes. Estate spanned area within what is now Earl Avenue, Glen, Highland, Kenwood. The designer may have been Joseph Henry Curtis (1841-1928), who became a noted landscape designer. Albert F. Sargent was a Malden resident and town engineer.",,"Curtis, Joseph H.",,1487-1937,,1 in = 50 ft,42.4324979,-71.0782,Survey Plan,1,,1,19.5 x 15.5,Blueprint,Fading. Indications that original had many folds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W47_1488,Francis Estate,"Allston (Boston, MA)",Trustees of the Estate of E. Francis,1888-04-14,[Heirs of Ebenezer Francis],Boston and Albany Railroad,Ashford Street; Charles River,Plot plan showing estate land divided by railroad. Shows building footprint and outline of old cart road.,Boston urban atlases showed that the estate owned these lots until the late 1880s; now part of Boston University's campus. See surveys for other properties owned by the Ebenezer Francis Estate.,,"Whitney, William H.",,1488-1938,,1 in = 150 ft,42.35291473,-71.121,Survey Plan,1,,1,18.5 x 12.5,Blueprint,"2 panels, taped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1489,West End Land Co.,"Boston, MA",[Untitled - Beacon Street & Commonwealth Avenue],1888-02-29,"Sears, Mrs. E.E.; West End Land Company","Adams, J.Q.; Bacon, J.A.; Ryan, Margaret J.; Stillings, S.",Beacon Street; Commonwealth Avenue,"Plot plan showing multiple lots alongside Beacon Street. Includes field notes, dimensions, areas. Contains set of red gridlines.","The West End Land Company, owned by Henry Whitney, was involved in projects to widen Commonwealth Avenue and establish street-cars.",,"Whitney, William H.",,1489-1939,,1 in = 50 ft,42.34869436,-71.0986,Survey Plan,1,,1,22 x 12,Ink and red pencil on vellum,Unevenly dimensioned. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1490,,"Boston, MA",[Proposed Streets - Study No. 4],1888-04-01,,Boston and Providence Railroad,Bryant Street; Columbus Avenue; Gainsborough Street; Grinnell Street {Defunct]; Huntington Avenue; Northampton Street; Rogers Avenue [Forsyth Street]; St. Botolph Street; Waldo Street [Defunct]; West Chester Park [Massachusetts Avenue]; Westfield Street; Whitman Street [Defunct],"4th in set of proposed street layouts. Shows select dimensions, passageways, and dashed outlines existing streets and lot boundaries.",,,"Whitney, William H.",,1490-1940,,1 in = 100 ft,42.33952401,-71.0894,Survey Plan,1,,1,26 x 16.5,Blueprint,"2 panels, taped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1491-1493,Francis Estate,"Allston (Boston, MA)","Plan of portion of E. F. Francis Estate, Boston showing proposed streets. Study No. 1 - Study No. 3",1888-04-01,Heirs of Ebenezer Francis,"Boston and Albany Railroad; Boston Trotting Park; Kendall, J.B.; Morss, Charles A.",Ashford Street; Babcock Street; Brookline Street; Commonwealth Avenue; Essex Street; Gardner Street; Malvern Street; St. Paul Street; Charles River,3 studies for layout of streets between Commonwealth Avenue and railroad/Charles River. Includes calculations for waste in streets and passageways.,The Beacon Trotting Park was a premier sulky racing track. It was sold in the 1890s to the Boston & Albany Railroad.,,"Whitney, William H.",,1491-1941/1493-1943,,1 in = 150 ft,42.35210002,-71.1156,Survey Plan,3,,1,30 x 16.5,Blueprint,"Each sheet is 2 panels, taped. Discoloration. Edge damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1494,,"Boston, MA",[Untitled - Huntington - Railroad],1888-03-01,,Boston and Albany Railroad; Boston & Providence Railroad,Albemarle Street; Blackwood Street; Cumberland Street; Dartmouth Street; Durham Street; Follen Street; Gainsborough Street; Garrison Street; Harcourt Street; Huntington Avenue; Irvington Street [Defunct]; St. Botolph Street; Waldo Street; West Chester Park [Massachusetts Avenue]; West Newton Street; Whitman Street,"Plot plan showing of numbers, building footprints (decoratively shaded) and indicates as to whether the lot was sold. Red ink annotations show additional calculations and notebook references. Notation says additions in red about May 1, 1888. 6 copies made for Huntington Avenue Trustees.",,,"Whitney, William H.",,1494-1944,,1 in = 60 ft,42.34537603,-71.0802,Survey Plan,1,,1,45 x 15,Brownline on vellum,Buckling. Tears. A small section of the rear side is pasted to a print segment. Length shown reflects folding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1495-1499,,"Boston, MA",[Untitled - Beacon and Dartmouth Streets - Studies No. 1 - no. 5],1888-05-01,,,Beacon Street; Dartmouth Street; Passageway [Public Alley 418],5 studies for layout of lots abutting a 16' wide passageway. Show dimensions.,,,"Whitney, William H.",,1495-1945/1499-1949,,1 in = 20 ft,42.35339637,-71.0792,Survey Plan,5,,1,14 x 16.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1500,,"Boston, MA",[Untitled - Gainsborough St. and Huntington Avenue],1888-05-12,"Murdoch, A. L.","Boston Water Power Co.; Edwards, James; Whitney, Henry M.",Falmouth Street [ St. Stephens Street]; Gainsborough Street; Huntington Avenue; [Private Alley 817],Lot plan showing one lot with sq. sf area as well as three lots with owners shown; 10-foot-wide passageway. Shows calculations in red pencil.,,,"Whitney, William H.",,1500-1950,,1 in = 30 ft,42.34148641,-71.0874,Survey Plan,1,,1,23 x 16,Blueprint,2 panels taped. Edge damage. Seam split.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1501,Belvedere / Cambria / Dalton Streets,"Boston, MA",[Untitled - Belvedere / Cambria Street],1888-05-23,,Boston & Albany Railroad,Belvidere Street; Bothnia Street [St. Cecelia Street]; Boylston Street; Cambria Street; Dalton Street; Scotia Street; West Chester Park [Massachusetts Avenue],"Subdivision plan showing four blocks of lots. Lots are numbered and show dimensions and sf/ft. Some lots are labelled ""sold."" Shows the railroad going under Boylston Street.",Later version of plan series for this section of Boston.,,"Whitney, William H.",,1501-1951,"66, 67",1 in = 60 ft,42.3468423,-71.0852,Survey Plan,1,,1,15 x 16,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W48_1502,Belvedere / Cambria / Dalton Streets,"Boston, MA",[Untitled - Belvedere / Cambria Street/Westland Street - Plan No. 1],1888-05-23,,Boston & Albany Railroad,Belvidere Street; Bothnia Street [St. Cecelia Street]; Boylston Street; Cambria Street; Dalton Street; Scotia Street; West Chester Park [Massachusetts Avenue],"Subdivision plan showing four blocks of lots. Lots are numbered and show dimensions and sf/ft. Some lots are labelled ""sold."" Shows the railroad going under Boylston Street. A newspaper clipping dated 1888-08-10 has been glued to the lower left-hand corner; titled ""Gain in Back Bay Lands."" Indicates that the seller was Boston Water Power Company. ",Later version of plan series for this section of Boston.,,"Whitney, William H.",,1502-1952,"66, 67",1 in = 60 ft,42.3468423,-71.0852,Survey Plan,1,,1,18 x 18,Brownline on trace,Buckling. Creases. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
